center_lat,center_lon,northeast_lat,northeast_lon,southwest_lat,southwest_lon,place_id
46.0854763,-118.2503954,46.08741313029149,-118.2492344697085,46.0847151697085,-118.2519324302915,ChIJb21eb2cVolQRY6JGmq_XmwA
44.8338589,-123.0471169,44.8351954302915,-123.0451484,44.8324974697085,-123.0530224,ChIJm-BEGj4GwFQRQz0MEeIFSLM
44.63926070000001,-123.0940026,44.6406518302915,-123.0924905197085,44.6379538697085,-123.0951884802915,ChIJ6QmAe3sVwFQR7KVJoo1dw3k
45.21157729999999,-123.1901348,45.2128524302915,-123.1887851197085,45.2101544697085,-123.1914830802915,ChIJQeW2X8JIlVQR_36_D7DaRyw
45.444671,-123.0610661,45.44597333029149,-123.0596676197085,45.4432753697085,-123.0623655802915,ChIJPyUzT_0WlVQRPplhbRhoBv8
45.2101607,-123.1918213,45.21143848029149,-123.1904691197085,45.20874051970849,-123.1931670802915,ChIJsQUl8WI4lVQRH7c1h2mlyxs
43.1265293,-123.410891,43.1277555802915,-123.4096288697085,43.1250576197085,-123.4123268302915,ChIJFxlq4W45xFQRofB1FANAgqA
46.51239309999999,-120.4494989,46.51408013029149,-120.44865395,46.51138216970849,-120.45203375,ChIJ6zX2Hy5-l1QRa3iXwQVTJ9w
43.0629009,-123.365396,43.0636013302915,-123.3641883697085,43.06090336970851,-123.3668863302915,ChIJAQxfzZU3xFQRs5T84y869vA
45.2871867,-122.8724372,45.2886289802915,-122.8712333197085,45.2859310197085,-122.8739312802915,ChIJyeLEWHhplVQRw5DFl7OPtwg
43.2113549,-123.3464928,43.21256873029149,-123.3452711697085,43.2098707697085,-123.3479691302915,ChIJsUP3Td8ixFQRyE51ASKNrd0
45.73647949999999,-121.6023955,45.7378365802915,-121.6009608697085,45.7351386197085,-121.6036588302915,ChIJnWx_ltkNllQRk6RidCeS5gc
46.0504766,-118.457516,46.0518193802915,-118.4561860197085,46.0491214197085,-118.4588839802915,ChIJdTHtN0xoolQRyRlSR_TQfUE
46.0666361,-118.340063,46.06791578029149,-118.3386456697085,46.06521781970849,-118.3413436302915,ChIJ4095b2NqolQRxrFhC01pB64
45.9529381,-118.3820919,45.95428718029149,-118.3806965697085,45.9515892197085,-118.3833945302915,ChIJoa66NRlFolQRl-EO1VCC_ns
45.71811499999999,-121.3319,45.71934523029149,-121.3301934697085,45.7166472697085,-121.3328914302915,ChIJ5atICDUXllQRd8-GQswUDwg
44.9570853,-123.1521693,44.9580272802915,-123.15088855,44.9553293197085,-123.15601155,ChIJ0Wg7T5yq6lQRJKYZZfiLfNY
46.0522459,-118.4602725,46.0533222802915,-118.4587795697085,46.0506243197085,-118.4614775302915,ChIJ0_2r7k1oolQR3EUkoC5vw54
44.9117481,-122.9168774,44.9130969302915,-122.9157625697085,44.9103989697085,-122.9184605302915,ChIJmbBSk6n5v1QR07yEtlWVkVw
45.9295853,-118.4190786,45.9309342802915,-118.4177296197085,45.9282363197085,-118.4204275802915,ChIJKXmvGNFbolQRry1yKwYHNfM
45.3977141,-123.2641699,45.3988063802915,-123.26329005,45.3961084197085,-123.26680945,ChIJKcYu1Ws7lVQR0lNN1vEcQsA
43.972023,-123.140407,43.9736552802915,-123.1383938697085,43.9709573197085,-123.1410918302915,ChIJi4hP_iYZwVQRcu8TWGEHfyM
45.3294024,-122.9487838,45.3307508302915,-122.9477322697085,45.3280528697085,-122.9504302302915,ChIJMUDWR-9qlVQR2CU-88uF42A
46.5191572,-120.4461433,46.5201655802915,-120.4447967197085,46.5174676197085,-120.4474946802915,ChIJvy-5yi9-l1QRs5nK5lnK4xc
42.15375299999999,-123.046164,42.1555708802915,-123.0450796,42.1528729197085,-123.0494172,ChIJIT_AX-6Zz1QRQ3glF9XESEo
45.6334844,-121.5116874,45.6348171302915,-121.5103691197085,45.6321191697085,-121.5130670802915,ChIJG1BslP0FllQRMRc0KTybvYM
46.0161547,-118.386097,46.0175144302915,-118.3848783197085,46.0148164697085,-118.3875762802915,ChIJz3X720BColQRhE0GWDv9LRQ
45.6986621,-121.2840026,45.6999237802915,-121.2827220697085,45.6972258197085,-121.2854200302915,ChIJ06YF9-0ZllQRVNyo-yacRsE
45.8076459,-122.6288093,45.8095444302915,-122.6274718697085,45.8068464697085,-122.6301698302915,ChIJxfLDl7dMlFQRPoqA0PVrnEE
45.27882719999999,-123.0276541,45.2801788302915,-123.0261893197085,45.2774808697085,-123.0288872802915,ChIJ3xWHhsM_lVQRYmrdwLFC5jM
45.2762488,-123.0164412,45.2775986802915,-123.0152982697085,45.2749007197085,-123.0179962302915,ChIJ2cuinAQKlVQR4C_MDx0vag4
43.273947,-123.427194,43.2750655802915,-123.4253602697085,43.2723676197085,-123.4280582302915,ChIJCd7n49EZxFQRSrHlFYkrqxo
45.6081834,-122.9195239,45.6095364802915,-122.9178773697085,45.6068385197085,-122.9205753302915,ChIJpRiZbyQHlVQRHNAhH1oZFrU
44.959098,-123.132079,44.9604209302915,-123.1308409197085,44.9577229697085,-123.1335388802915,ChIJq6qqqub-v1QRl8iBghfYML8
45.2616612,-123.0671705,45.2629172802915,-123.0658618197085,45.2602193197085,-123.0685597802915,ChIJycscKsxGlVQRImdkggvMr0Y
46.0951908,-118.2609377,46.0966017802915,-118.2597020697085,46.0939038197085,-118.2624000302915,ChIJ0ZJoUMwVolQRsaaDZWe8JQo
45.2092622,-123.112176,45.2105229302915,-123.1109203697085,45.2078249697085,-123.1136183302915,ChIJHSsTIGM4lVQRZS9GSCYz2Ic
