,winery,vintage,variety,designation,release_price,rating,title,source,category,AVA,region,province,country,description
16,Domaine Serene,2011,Chardonnay,Côte Sud Vineyard Dijon Clones,$65,91,Domaine Serene 2011 Chardonnay Dundee Hills Côte Sud Vineyard Dijon Clones,"Wine Spectator Magazine Issue Oct 15, 2014",,Dundee Hills,Willamette Valley,Oregon,US,"Fresh and tangy, with juicy pineapple and pear flavors balanced with lively acidity and a mineral character, finishing with refreshing balance. Drink now through 2017. 100 cases made."
17,Lachini,2011,Chardonnay,Les Sols Arénacés,$44,91,Lachini 2011 Chardonnay Chehalem Mountains Les Sols Arénacés,"Wine Spectator Magazine Issue Feb 28, 2014",,Chehalem Mountains,Willamette Valley,Oregon,US,"Vibrant, tangy and explosive in flavor, this is layered with grapefruit and melon notes that show hints of nectarine and savory herb as the finish persists. Drink now through 2018. 50 cases made."
18,Ponzi,2011,Chardonnay,Reserve,$30,91,Ponzi 2011 Chardonnay Willamette Valley Reserve,"Wine Spectator Magazine Issue Dec 31, 2013",,Willamette Valley,Willamette Valley,Oregon,US,"This fresh and inviting white is lean and lithe, with a crisp underpinning to the pear and honeysuckle flavors, lingering gently. Gains focus on the pinpoint finish. Drink now through 2016. 1,015 cases made."
19,Erath,2011,Pinot Gris,Sweet Harvest,$30/375ml.,92,Erath 2011 Pinot Gris Willamette Valley Sweet Harvest,"Wine Spectator Magazine Issue Feb 28, 2013",Dessert,Willamette Valley,Willamette Valley,Oregon,US,"Sweet and silky, deftly balanced to let the pear, floral and honey flavors glide smoothly and effortlessly. Drink now through 2016. 133 cases made."
20,King Estate,2011,Dessert Wines,,$15,91,King Estate 2011 Pinot Gris Oregon Signature Collection Vin Glacé,"Wine Spectator Magazine Issue Feb 28, 2013",,,,Oregon,US,"Sweet and rich, with a deft stiletto of citrusy acidity balancing the opulent pineapple, fig and orange blossom flavors, lingering enticingly. Drink now through 2016. 800 cases made."
21,Erath,2011,Pinot Noir,Sweet Harvest,$30/375ml.,90,Erath 2011 Pinot Noir Willamette Valley Sweet Harvest,"Wine Spectator Magazine Issue Feb 28, 2013",Dessert,Willamette Valley,Willamette Valley,Oregon,US,"Sweet and amiable, polished in texture and enticing, with guava, berry and cream flavors, lingering beautifully. Drink now through 2015. 145 cases made."
22,Adelsheim,2011,Pinot Noir,Déglacé,$35/375ml.,88,Adelsheim 2011 Pinot Noir Ribbon Ridge Déglacé,"Wine Spectator Magazine Issue Oct 31, 2013",Dessert,Ribbon Ridge,Willamette Valley,Oregon,US,"Salmon-colored and syrupy sweet, with guava fruit and exotic spice notes that echo on the finish. Drink now. 465 cases made."
23,Griffin Creek,2011,Grenache,,$40,90,Griffin Creek 2011 Grenache Rogue Valley,"Wine Spectator Magazine Issue Feb 28, 2015",,Rogue Valley,Southern Oregon,Oregon,US,"Appealing, with freshness and vitality to the guava and red berry flavors, which are well-shaped and point toward an open-textured, lingering finish. Has presence and a touch of pepper. Drink now through 2018. 313 cases made."
24,Quady North,2011,GSM,,$25,90,Quady North 2011 GSM Rogue Valley,"Wine Spectator Magazine Issue Feb 28, 2014",,Rogue Valley,Southern Oregon,Oregon,US,"Supple, open-textured and appealing, with guava and rhubarb flavors, finishing with spice and cream notes. Shows presence and refinement. Grenache, Syrah and Mourvèdre. Drink now through 2018. 200 cases made."
25,Glaser,2011,Grenache,,$26,88,Glaser 2011 Grenache Southern Oregon,"Wine Spectator Magazine Issue Feb 28, 2013",,Southern Oregon,Southern Oregon,Oregon,US,"Bright and jazzy, with a lively mouthful of raspberry and floral flavors, lingering on the juicy finish. Drink now. 80 cases made."
26,Pyrenees,2011,Grenache,,$26,87,Pyrenees 2011 Grenache Southern Oregon,"Wine Spectator Magazine Issue Feb 28, 2014",,Southern Oregon,Southern Oregon,Oregon,US,"Light and silky, with guava and berry flavors set on a taut frame, lingering gently. Drink now. 237 cases made."
27,Quady North,2011,Grenache,Bomba,$25,86,Quady North 2011 Grenache Rogue Valley Bomba,"Wine Spectator Magazine Issue Feb 28, 2014",,Rogue Valley,Southern Oregon,Oregon,US,"Fresh and tangy, with juicy mulberry and lime flavors on a trim frame, persisting quietly. Drink now through 2016. 150 cases made."
28,Cowhorn,2011,Grenache,42,$45,85,Cowhorn 2011 Grenache Applegate Valley 42,"Wine Spectator Magazine Issue Feb 28, 2014",,Applegate Valley,Southern Oregon,Oregon,US,"Hard-edged, with a tangy feel to the blackberry and tomato leaf flavors, persisting on the finish. Drink now through 2016. 130 cases made."
29,Griffin Creek,2011,Malbec,,$40,91,Griffin Creek 2011 Malbec Rogue Valley,"Wine Spectator Magazine Issue Feb 28, 2015",,Rogue Valley,Southern Oregon,Oregon,US,"This steely, minerally style offers black cherry fruit and layers of wet stone, wet earth and floral character. Has presence and a distinctively savory cast. The finish persists. Drink now through 2019. 447 cases made."
30,Pyrenees,2011,Malbec,,$28,87,Pyrenees 2011 Malbec Southern Oregon,"Wine Spectator Magazine Issue Feb 28, 2014",,Southern Oregon,Southern Oregon,Oregon,US,"Taut and spicy, this medium-weight red offers nutmeg and lemon curd accents to the blackberry flavors, persisting on the peppery finish. Drink now through 2016. 331 cases made."
31,Season Cellars,2011,Malbec,,$30,86,Season Cellars 2011 Malbec Southern Oregon,"Wine Spectator Magazine Issue Oct 15, 2013",,Southern Oregon,Southern Oregon,Oregon,US,"Bright and refreshing, with floral and herbal notes overlaying the juicy currant fruit, finishing with firm tannins. Drink now through 2015. 199 cases made."
32,Evening Land,2011,Gamay Noir,Seven Springs Vineyard,$23,89,Evening Land 2011 Gamay Noir Eola-Amity Hills Seven Springs Vineyard,"Wine Spectator Magazine Issue May 31, 2013",,Eola-Amity Hills,Willamette Valley,Oregon,US,"Bright and vibrant, with a light frame, this red offers dark berry flavors and wet stone aromatics as the finish lingers. Drink now. 347 cases made."
33,Griffin Creek,2011,Griffin,,$60,87,Griffin Creek 2011 Griffin Rogue Valley,"Wine Spectator Magazine Issue Feb 28, 2015",,Rogue Valley,Southern Oregon,Oregon,US,"Supple, round and frankly herbal, with ripe cherry and plum flavors, overlaid with vegetal notes. May meld better given time. Cabernet Sauvignon, Cabernet Franc and Merlot. Drink now through 2019. 295 cases made."
34,Merrill,2011,Merrilltage,,$16,85,Merrill 2011 Merrilltage Rogue Valley,"Wine Spectator Magazine Issue Feb 28, 2014",,Rogue Valley,Southern Oregon,Oregon,US,"Dark and tangy, dense in texture, with a sharp edge to the red pepper and blackberry flavors, finishing with more savory notes than fruit. Cabernet Sauvignon, Cabernet Franc and Merlot. Best after 2014. 175 cases made."
35,Argyle,2011,Other White Wines,Extended Tirage,$85,92,Argyle 2011 Brut Willamette Valley Extended Tirage,"Wine Spectator Magazine Issue Jun 30, 2022",Sparkling,Willamette Valley,Willamette Valley,Oregon,US,"A lovely bubbly that's rich and focused, offering luxurious baked pear, fresh ginger and warm yeast roll notes that glide on the polished finish. Drink now. 1,530 cases made."
36,Argyle,2011,Other White Wines,Knudsen Vineyard,$50,91,Argyle 2011 Brut Dundee Hills Knudsen Vineyard,"Wine Spectator Magazine Issue Jun 15, 2016",Sparkling,Dundee Hills,Willamette Valley,Oregon,US,"Light and crisp, with smoky overtones to the pear and floral flavors, lingering on the sleek finish against precise effervescence. Drink now. 906 cases made."
37,Erath,2011,Pinot Noir,Le Jour Magique White,$55,91,Erath 2011 Pinot Noir Willamette Valley Le Jour Magique White,"Wine Spectator Magazine Issue Sep 30, 2013",,Willamette Valley,Willamette Valley,Oregon,US,"Dark gold in color, with temptingly spicy aromatics leading to a rich, vibrant mouthful of pear, strawberry and cardamom. Resembles a solid blanc de noirs sparkling wine without the fizz. Drink now through 2017. 223 cases made."
38,Anne Amie,2011,Pinot Noir,Prismé Blanc,$60,90,Anne Amie 2011 Pinot Noir Yamhill-Carlton District Prismé Blanc,"Wine Spectator Magazine Issue Feb 28, 2015",,Yamhill-Carlton District,Willamette Valley,Oregon,US,"This generous version features notes of spice, melon, pear and cucumber as the finish comes together smoothly and persists against gentle acidity. Has presence and a distinctive range of flavors. Drink now through 2017. 260 cases made."
39,Argyle,2011,Other White Wines,Vintage,$27,90,Argyle 2011 Brut Willamette Valley Vintage,"Wine Spectator Magazine Issue Feb 28, 2015",Sparkling,Willamette Valley,Willamette Valley,Oregon,US,"Light and appealing, with an airy texture and smoky, toasty watermelon and floral flavors, finishing with expressiveness and length. Drink now. 13,750 cases made."
40,Cristom,2011,Viognier,,$26,90,Cristom 2011 Viognier Eola-Amity Hills,"Wine Spectator Magazine Issue Jun 30, 2013",,Eola-Amity Hills,Willamette Valley,Oregon,US,"Crisp and lively, with a shot of acidity balancing the richness in this spicy, citrusy and floral white. Sleek finish. Drink now through 2016. 574 cases made."
41,Penner-Ash,2011,Other White Wines,,$30,90,Penner-Ash 2011 Viognier Oregon,"Wine Spectator Magazine Issue Feb 28, 2013",,,,Oregon,US,"Soft and appealing, with pretty pear and melon flavors, gently folding in hints of white pepper and orange blossom on the well-groomed finish. Drink now. 700 cases made."
42,Quady North,2011,Pistoleta,,$19,90,Quady North 2011 Pistoleta Rogue Valley,"Wine Spectator Magazine Issue Feb 28, 2013",,Rogue Valley,Southern Oregon,Oregon,US,"Polished and lively, this is a deft style that offers floral pear and passion fruit flavors, sliding smoothly into a gentle finish. Viognier, Roussanne and Marsanne. Drink now. 220 cases made."
43,Cowhorn,2011,Spiral 36,,$28,89,Cowhorn 2011 Spiral 36 Applegate Valley,"Wine Spectator Magazine Issue Feb 28, 2013",,Applegate Valley,Southern Oregon,Oregon,US,"Polished, lively and appealing, with pear and floral flavors, picking up pretty pineapple notes as the finish lingers tartly. Viognier, Marsanne and Roussanne. Drink now. 500 cases made."
44,Cowhorn,2011,Viognier,,$30,89,Cowhorn 2011 Viognier Applegate Valley,"Wine Spectator Magazine Issue Feb 28, 2013",,Applegate Valley,Southern Oregon,Oregon,US,"Soft and velvety, with pretty spice and pear flavors, picking up floral notes as the finish lingers on a medium-weight frame. Drink now. 150 cases made."
45,Le Cadeau,2011,Other White Wines,,$50,89,Le Cadeau 2011 Blanc de Noir Oregon,Wine Spectator Magazine Issue Web Only - 2017,,,,Oregon,US,"Alluring baked apple, strawberry and brioche aromas open to steely, crisp blanched almond and ginger flavors. Drink now. 175 cases made."
46,Merrill,2011,Other White Wines,,$29,89,Merrill 2011 Viognier Oregon Reserve,"Wine Spectator Magazine Issue Feb 28, 2015",,,,Oregon,US,"Supple, round and spicy, this relatively delicate style offers layers of clove, nutmeg, pear, pineapple and floral flavors. Finishes with sleekness. Drink now. 100 cases made."
47,Plaisance Ranch,2011,Viognier,,$20,89,Plaisance Ranch 2011 Viognier Applegate Valley,"Wine Spectator Magazine Issue Feb 28, 2014",,Applegate Valley,Southern Oregon,Oregon,US,"A supple style, with chamomile-accented pear and melon flavors, finishing with a touch of orange peel. Has richness without excess weight. Drink now. 300 cases made."
48,Ponzi,2011,Arneis,,$25,89,Ponzi 2011 Arneis Willamette Valley,"Wine Spectator Magazine Issue Feb 28, 2013",,Willamette Valley,Willamette Valley,Oregon,US,"Fresh and tangy, with zesty lime, mineral and floral flavors, lingering on the lively finish. Cries out for oysters. Drink now. 260 cases made."
49,Kramer,2011,Other White Wines,Zero Dosage,$30,88,Kramer 2011 Brut Yamhill-Carlton District Zero Dosage,"Wine Spectator Magazine Issue Feb 28, 2015",Sparkling,Yamhill-Carlton District,Willamette Valley,Oregon,US,"Taut, lean and spicy, with clove and black pepper overtones to the lemon and slightly bitter grapefruit pith flavors, lingering on the steely finish. Drink now. 50 cases made."
50,Adelsheim,2011,Pinot Blanc,Bryan Creek Vineyard,$22,90,Adelsheim 2011 Pinot Blanc Chehalem Mountains Bryan Creek Vineyard,"Wine Spectator Magazine Issue Feb 28, 2013",,Chehalem Mountains,Willamette Valley,Oregon,US,"Crisp and tight, with juicy melon flavors and a hint of passion fruit to enliven the profile, finishing with a touch of wet stone. Drink now through 2015. 697 cases made."
51,Erath,2011,Pinot Blanc,,$14,88,Erath 2011 Pinot Blanc Oregon,"Wine Spectator Magazine Issue Feb 28, 2013",,,,Oregon,US,"Light and refreshing, glowing with creamy pineapple and grapefruit flavors that get a lift from refined acidity. Drink now. 1,040 cases made."
52,Bethel Heights,2011,Pinot Blanc,Estate Grown,$18,87,Bethel Heights 2011 Pinot Blanc Eola-Amity Hills Estate Grown,"Wine Spectator Magazine Issue Feb 28, 2013",,Eola-Amity Hills,Willamette Valley,Oregon,US,"Light and tangy, with grapefruit and floral flavors that linger on the taut finish. Drink now through 2014. 332 cases made."
53,Eyrie,2011,Pinot Blanc,,$17,87,Eyrie 2011 Pinot Blanc Dundee Hills,"Wine Spectator Magazine Issue Jun 30, 2013",,Dundee Hills,Willamette Valley,Oregon,US,Spice and apple cider notes weave through the fresh pear core in this deftly balanced white. Drink now. 750 cases made.
